t,frame,lapvar,motion_mag,jerk
0.0,0,2273.115703465489,0.0,0.0
0.25,7,1827.3154380108294,0.0003090542367754975,0.0003090542367754975
0.5,15,1540.0275042809558,0.00033417607222071665,3.724496456629732e-05
0.75,22,1343.6066432556017,0.00030075729574234784,9.118299507797521e-05
1.0,30,1140.372738805394,0.0005552744859858947,0.0002701825859567057
1.25,37,1104.6289194181877,0.0005955258137293616,6.044202156208788e-05
1.5,45,1100.9175794751752,0.0004746628605510782,0.00013116512906756386
1.75,52,1071.4074900131334,0.00041820572916910297,0.00011986336461632657
2.0,60,1087.8302227894712,0.0006620533877972155,0.0002438530892972382
2.25,67,933.7649732881187,0.0004586552371846041,0.00020960685339389975
2.5,75,870.7020851496868,0.0007288074540469354,0.0003083645437463768
2.75,82,819.2397370044326,0.0006975226587909894,0.00030440787010688284
3.0,90,848.5571614468801,0.0006830505291676557,2.79835415873234e-05
3.25,97,849.2288305079384,0.0006847052465330565,1.7186938774575683e-05
3.5,105,806.4935949830794,0.0007900944219761921,0.00025805984593215727
3.75,112,889.7159268332168,0.0007446544345680075,0.00012686598602163594
4.0,120,856.8323185946032,0.0009345777315305357,0.000195115589125118
4.25,127,877.6461706925722,0.0009766148333979156,0.00014581653745442707
4.5,135,774.1133164422794,0.0009941186471192193,0.00017264971784060137
4.75,142,872.1521522789449,0.0009534577665084388,4.854288609268874e-05
5.0,150,1608.619176623969,0.0009499790155597885,7.47271520873599e-05
5.25,157,929.1249059471589,0.0009763381093267615,8.803817845559974e-05
5.5,165,923.4300635460395,0.00108675307213961,0.00013737604130108124
5.75,172,781.1424488666373,0.0010552262412943285,9.28765939260996e-05
6.0,180,925.769024394387,0.001078353265754706,0.00020737012528216506
6.25,187,798.2893850901329,0.0007973779468937776,0.0003125119613830458
6.5,195,890.6413166610182,0.0009433234768992207,0.00016748681392273878
6.75,202,759.72615092512,0.0009502679677031296,0.00013472760329893705
7.0,210,932.2365699589482,0.0010980498324974306,0.00015532961639685205
7.25,217,802.0173521567747,0.0010977057965575248,3.441915159303896e-05
7.5,225,898.9316575954856,0.0008413349902681201,0.00026745429824674504
7.75,232,796.9217283934199,0.000895224533346625,0.00030776618044800767
8.0,240,880.3721421680762,0.0009468796098719848,0.00022663014296639574
8.25,247,765.5168338368806,0.0009994741393641612,5.278242650232367e-05
8.5,255,762.1115656680827,0.001141258252734549,0.00017052355184723697
8.75,262,758.7735836224324,0.0009529653995743435,0.00022348674881848376
9.0,270,906.391145599835,0.0010126174665963706,0.0001452754441133928
9.25,277,865.5861341242197,0.0010092198295825942,0.00013612916706027785
9.5,285,867.3311044469757,0.0010269837738808552,1.8683671017194602e-05
9.75,292,764.2210888046335,0.0008797653902765629,0.0001472348343665078
10.0,300,1677.6531249761847,0.000993905441193422,0.00011492571424961039
10.25,307,1028.1943065023459,0.0009968162512706536,0.00011399113443126962
10.5,315,883.075076642321,0.0008703823467652456,0.0001266041769939599
10.75,322,970.156407084384,0.0012043710392397856,0.0003342782449893545
11.0,330,885.0043282769578,0.001142354035780694,0.0001367793105580878
11.25,337,876.8983879216701,0.0011495680521790526,0.00023633951723369426
11.5,345,999.8693335262016,0.001113025084642635,0.0001584010994585031
11.75,352,943.1599820370745,0.0011028388399371854,7.319923828880502e-05
12.0,360,915.150867090557,0.0011327998824576509,0.00011718346215781545
12.25,367,919.5799120249616,0.0010878027909360238,8.440076935698328e-05
12.5,375,1007.8213337725833,0.0011444934348289143,6.149330379318566e-05
12.75,382,816.4190896884236,0.0012111155455238208,0.0001002941258774917
13.0,390,933.1818613590234,0.001109194360910118,0.00018041884053082998
13.25,397,822.467103212854,0.0011249861797847953,0.0002198903685704029
13.5,405,878.0371569861876,0.001077803331460934,0.00016498611895627815
13.75,412,843.7779435327924,0.0011535627067534313,0.00021750959424772582
14.0,420,984.9412279127747,0.0008131234526234528,0.00037470737994061744
14.25,427,840.7373644710403,0.0012094933133957814,0.00040960120089158684
14.5,435,822.7715975908432,0.0006799806832930746,0.0005337512043103055
14.75,442,850.6270142435337,0.0011053338417059216,0.00043074953700844446
15.0,450,1796.6144956398061,0.0006788329354456198,0.0004754019168000075
15.25,457,1100.784113160547,0.0009562253612518868,0.00031992041722795337
15.5,465,966.2809695925848,0.000832092220014361,0.000153146845028397
15.75,472,971.2067201897991,0.0009676502580341103,0.00022697316096831504
16.0,480,980.0892081395943,0.0008801686412995583,8.756306897988635e-05
16.25,487,977.0062933556832,0.0006878297251662876,0.00022433641604532615
16.5,495,1005.3684524363374,0.0005011987005090839,0.00018975655152870204
16.75,502,946.3979179424001,0.0007435510566015564,0.0002642597360669918
17.0,509,930.8723795526813,0.0006806171654476091,6.38295038075613e-05
17.25,517,1076.4833831098874,0.0005726336247390825,0.00013822878188640052
17.5,524,1081.7024443667483,0.0006406169268425287,0.00019926233366754104
17.75,532,974.0289791714296,0.0007245251648397867,0.00024217945763415006
18.0,539,998.3374276619438,0.000878084808270278,0.0001595950606055984
18.25,547,1013.4461685431522,0.0008002788989144542,0.00017091262219118774
18.5,554,1161.7468798396076,0.0008262406667950344,0.0004409753104647906
18.75,562,1100.9732196790076,0.000527967154212879,0.00041313724049075036
19.0,569,895.6249294043391,0.000640782999098771,0.00013580087390537528
19.25,577,837.5068307594183,0.0008554554097801052,0.00021495904469478495
19.5,584,811.8230177576161,0.0008810797620453048,0.00020936434620805853
19.75,592,780.5918966806107,0.0008091733760787176,0.0003032381084076521
20.0,599,787.7823147572568,0.0005996402470431783,0.00027502171105094796
20.25,607,1069.0117283600498,0.0010897879351934457,0.0004951468740066813
20.5,614,878.4346991378387,0.0006909367830812328,0.00040423817134336264
20.75,622,816.3461641354326,0.000789466294540977,0.00025132121941615244
21.0,629,768.1944343071273,0.000817338146537853,0.00013292738514817791
21.25,637,748.6941825644387,0.0007085999002972553,0.00011936224021555979
21.5,644,870.2526615532579,0.0006358974098001615,8.92876095270451e-05
